Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Nathan MacKinnon,20212022,COL,R,C,65,32,56,88,22,42,1.35,25,61,7,27,0,0,1,5,299,10.7,21:04,45.4
Nathan MacKinnon,20202021,COL,R,C,48,20,45,65,22,37,1.35,12,40,8,25,0,0,0,2,206,9.7,20:22,48.5
Nathan MacKinnon,20192020,COL,R,C,69,35,58,93,13,12,1.35,23,62,12,31,0,0,2,4,318,11,21:13,43.1
Nathan MacKinnon,20182019,COL,R,C,82,41,58,99,20,34,1.21,29,62,12,37,0,0,1,6,365,11.2,22:05,43.7
Nathan MacKinnon,20172018,COL,R,C,74,39,58,97,11,55,1.31,27,64,12,32,0,1,3,12,284,13.7,19:54,41.9
Nathan MacKinnon,20162017,COL,R,C,82,16,37,53,-14,16,0.65,12,37,2,14,2,2,2,4,251,6.4,19:57,50.6
Nathan MacKinnon,20152016,COL,R,C,72,21,31,52,-4,20,0.72,14,35,7,16,0,1,0,6,245,8.6,18:52,48.4
Nathan MacKinnon,20142015,COL,R,C,64,14,24,38,-7,34,0.59,11,31,3,7,0,0,0,2,192,7.3,17:03,47
Nathan MacKinnon,20132014,COL,R,C,82,24,39,63,20,26,0.77,16,46,8,17,0,0,0,5,241,10,17:21,42.9
J.T. Compher,20212022,COL,R,L,70,18,15,33,6,25,0.47,13,26,4,6,1,1,0,0,102,17.7,16:19,51.4
J.T. Compher,20202021,COL,R,L,48,10,8,18,10,19,0.38,9,16,1,2,0,0,0,2,47,21.3,14:13,45.9
J.T. Compher,20192020,COL,R,L,67,11,20,31,9,18,0.46,10,23,1,5,0,3,1,3,106,10.4,16:45,47.7
J.T. Compher,20182019,COL,R,L,66,16,16,32,-8,31,0.48,9,20,4,9,3,3,0,3,118,13.6,17:29,49.2
J.T. Compher,20172018,COL,R,L,69,13,10,23,-29,20,0.33,7,14,4,7,2,2,2,3,131,9.9,16:00,45.1
J.T. Compher,20162017,COL,R,L,21,3,2,5,0,4,0.24,2,4,1,1,0,0,0,1,30,10,14:56,47.6
Darren Helm,20212022,COL,L,C,68,7,8,15,-5,14,0.22,6,13,0,0,1,2,0,1,93,7.5,10:33,44.2
Darren Helm,20202021,DET,L,C,47,3,5,8,-3,10,0.17,3,8,0,0,0,0,0,0,83,3.6,14:41,66.7
Darren Helm,20192020,DET,L,C,68,9,7,16,-6,37,0.24,8,14,0,0,1,2,0,0,102,8.8,13:44,53.6
Darren Helm,20182019,DET,L,C,61,7,10,17,-11,20,0.28,6,13,0,0,1,4,0,0,107,6.5,14:34,44.4
